Volcano Name,Country,Primary Volcano Type,Activity Evidence,Last Known Eruption,Region,Subregion,Latitude,Longitude,Elevation (m),Dominant Rock Type
Santorini,Greece,Shield(s),Eruption Observed,1950 CE,Mediterranean and Western Asia,Greece,36.404,25.396,367,Dacite
Nisyros,Greece,Stratovolcano,Eruption Observed,1888 CE,Mediterranean and Western Asia,Greece,36.586,27.16,698,Dacite
Yali,Greece,Lava dome(s),Evidence Credible,Unknown,Mediterranean and Western Asia,Greece,36.671,27.14,180,Rhyolite
Kula,Turkey,Pyroclastic cone(s),Evidence Credible,Unknown,Mediterranean and Western Asia,Turkey,38.58,28.52,750,Trachybasalt / Tephrite Basanite
Karapinar Field,Turkey,Pyroclastic cone(s),Evidence Credible,Unknown,Mediterranean and Western Asia,Turkey,37.667,33.6,1302,Trachyandesite / Basaltic Trachyandesite
Hasan Dagi,Turkey,Stratovolcano,Evidence Credible,Unknown,Mediterranean and Western Asia,Turkey,38.13,34.17,3253,Dacite
Gollu Dag,Turkey,Lava dome,Evidence Uncertain,Unknown,Mediterranean and Western Asia,Turkey,38.25,34.57,2143,Rhyolite
Acigol-Nevsehir,Turkey,Caldera,Eruption Dated,2080 BCE,Mediterranean and Western Asia,Turkey,38.537,34.621,1683,Rhyolite
Erciyes Dagi,Turkey,Stratovolcano,Eruption Dated,6880 BCE,Mediterranean and Western Asia,Turkey,38.531,35.447,3864,Dacite
Karaca Dag,Turkey,Shield,Evidence Credible,Unknown,Mediterranean and Western Asia,Turkey,37.67,39.83,1957,Basalt / Picro-Basalt
Nemrut Dagi,Turkey,Stratovolcano,Eruption Observed,1650 CE,Mediterranean and Western Asia,Turkey,38.654,42.229,2948,Rhyolite
Tenduruk Dagi,Turkey,Shield,Eruption Observed,1855 CE,Mediterranean and Western Asia,Turkey,39.356,43.874,3514,Basalt / Picro-Basalt
Ararat,Turkey,Stratovolcano,Eruption Observed,1840 CE,Mediterranean and Western Asia,Turkey,39.7,44.3,5165,Andesite / Basaltic Andesite
Elbrus,Russia,Stratovolcano,Eruption Dated,50 CE,Mediterranean and Western Asia,Western Asia,43.351,42.442,5642,Dacite
Kazbek,Georgia,Stratovolcano,Eruption Dated,750 BCE,Mediterranean and Western Asia,Western Asia,42.7,44.5,5050,Andesite / Basaltic Andesite
Samsari Volcanic Center,Georgia,Lava cone(s),Evidence Uncertain,Unknown,Mediterranean and Western Asia,Western Asia,41.542,43.7,3290,Andesite / Basaltic Andesite
Aragats,Armenia,Stratovolcano,Evidence Credible,Unknown,Mediterranean and Western Asia,Western Asia,40.53,44.2,4095,Andesite / Basaltic Andesite
Ghegham Volcanic Ridge,Armenia,Volcanic field,Eruption Dated,1900 BCE,Mediterranean and Western Asia,Western Asia,40.283,45,3597,Andesite / Basaltic Andesite
Vaiyots-Sar,Armenia,Pyroclastic cone(s),Eruption Dated,2000 BCE,Mediterranean and Western Asia,Western Asia,39.797,45.497,2575,Andesite / Basaltic Andesite
Porak,Armenia-Azerbaijan,Stratovolcano,Eruption Dated,778 BCE,Mediterranean and Western Asia,Western Asia,40.028,45.74,3029,Andesite / Basaltic Andesite
Tskhouk-Karckar,Armenia-Azerbaijan,Pyroclastic cone(s),Eruption Dated,3000 BCE,Mediterranean and Western Asia,Western Asia,39.742,45.992,3139,Andesite / Basaltic Andesite
"Tair, Jebel at",Yemen,Stratovolcano,Eruption Observed,2008 CE,Africa and Red Sea,Africa (northeastern) and Red Sea,15.55,41.83,244,Trachybasalt / Tephrite Basanite
Zubair Group,Yemen,Shield,Eruption Observed,2013 CE,Africa and Red Sea,Africa (northeastern) and Red Sea,15.05,42.18,191,Basalt / Picro-Basalt
Zukur,Yemen,Shield,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,14.02,42.75,624,Basalt / Picro-Basalt
Hanish,Yemen,Shield,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,13.72,42.73,422,Basalt / Picro-Basalt
Alid,Eritrea,Stratovolcano,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,14.88,39.92,904,Rhyolite
Dallol,Ethiopia,Explosion crater(s),Eruption Observed,2011 CE,Africa and Red Sea,Africa (northeastern) and Red Sea,14.242,40.3,-48,No Data (checked)
Gada Ale,Ethiopia,Stratovolcano,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,13.975,40.408,287,Basalt / Picro-Basalt
Alu-Dalafilla,Ethiopia,Fissure vent(s),Eruption Observed,2008 CE,Africa and Red Sea,Africa (northeastern) and Red Sea,13.793,40.553,578,Basalt / Picro-Basalt
Bora Ale,Ethiopia,Stratovolcano,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,13.725,40.6,668,Basalt / Picro-Basalt
Erta Ale,Ethiopia,Shield,Eruption Observed,2020 CE,Africa and Red Sea,Africa (northeastern) and Red Sea,13.6,40.67,613,Basalt / Picro-Basalt
Ale Bagu,Ethiopia,Stratovolcano,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,13.512,40.631,988,Basalt / Picro-Basalt
Hayli Gubbi,Ethiopia,Shield,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,13.51,40.722,493,Basalt / Picro-Basalt
Dubbi,Eritrea,Stratovolcano,Eruption Observed,1861 CE,Africa and Red Sea,Africa (northeastern) and Red Sea,13.579,41.809,1625,Basalt / Picro-Basalt
Nabro,Eritrea,Stratovolcano,Eruption Observed,2012 CE,Africa and Red Sea,Africa (northeastern) and Red Sea,13.37,41.7,2218,Trachyte / Trachydacite
Mallahle,Ethiopia-Eritrea,Stratovolcano,Evidence Uncertain,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,13.27,41.65,1875,Trachyte / Trachydacite
Sork Ale,Ethiopia-Eritrea,Stratovolcano,Evidence Uncertain,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,13.18,41.725,1611,Basalt / Picro-Basalt
Asavyo,Ethiopia,Shield,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,13.098,41.599,1338,Basalt / Picro-Basalt
Mat Ala,Ethiopia,Shield,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,13.106,41.161,493,Basalt / Picro-Basalt
Tat Ali,Ethiopia,Shield,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,13.284,41.063,655,Basalt / Picro-Basalt
Borawli,Ethiopia,Stratovolcano,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,13.304,40.987,784,Basalt / Picro-Basalt
Afdera,Ethiopia,Stratovolcano,Evidence Uncertain,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,13.088,40.853,1250,Rhyolite
Ma Alalta,Ethiopia,Stratovolcano,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,13.013,40.185,1745,Rhyolite
Alayta,Ethiopia,Shield,Eruption Observed,1915 CE,Africa and Red Sea,Africa (northeastern) and Red Sea,12.888,40.573,1496,Basalt / Picro-Basalt
Dabbahu,Ethiopia,Stratovolcano,Eruption Observed,2005 CE,Africa and Red Sea,Africa (northeastern) and Red Sea,12.595,40.48,1401,Basalt / Picro-Basalt
Dabbayra,Ethiopia,Shield,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,12.38,40.07,1302,Basalt / Picro-Basalt
Manda Hararo,Ethiopia,Shield(s),Eruption Observed,2009 CE,Africa and Red Sea,Africa (northeastern) and Red Sea,12.17,40.82,600,Basalt / Picro-Basalt
Groppo,Ethiopia,Volcanic field,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,11.816,40.242,852,
Kurub,Ethiopia,Shield,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,11.88,41.208,625,Basalt / Picro-Basalt
Manda-Inakir,Ethiopia-Djibouti,Fissure vent(s),Eruption Observed,1928 CE,Africa and Red Sea,Africa (northeastern) and Red Sea,12.38,42.2,600,Basalt / Picro-Basalt
Mousa Alli,Ethiopia-Eritrea-Djibouti,Stratovolcano,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,12.469,42.404,1993,Rhyolite
Gufa,Eritrea-Djibouti,Volcanic field,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,12.55,42.53,600,Basalt / Picro-Basalt
Assab Volcanic Field,Eritrea,Volcanic field,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,12.95,42.43,987,Basalt / Picro-Basalt
Ardoukoba,Djibouti,Fissure vent(s),Eruption Observed,1978 CE,Africa and Red Sea,Africa (northeastern) and Red Sea,11.58,42.47,298,Basalt / Picro-Basalt
Manda Gargori,Ethiopia,Fissure vent(s),Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,11.75,41.48,700,Basalt / Picro-Basalt
Dama Ali,Ethiopia,Shield,Eruption Observed,1631 CE,Africa and Red Sea,Africa (northeastern) and Red Sea,11.28,41.63,1068,Basalt / Picro-Basalt
Gabillema,Ethiopia,Stratovolcano,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,11.08,41.27,1459,Rhyolite
Yangudi,Ethiopia,Complex,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,10.58,41.042,1383,Rhyolite
Ayelu,Ethiopia,Stratovolcano,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,10.082,40.702,2145,Rhyolite
Adwa,Ethiopia,Stratovolcano,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,10.07,40.84,1733,Rhyolite
Hertali,Ethiopia,Fissure vent,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,9.78,40.33,900,Basalt / Picro-Basalt
Liado Hayk,Ethiopia,Maar(s),Evidence Uncertain,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,9.57,40.28,878,No Data (checked)
Dofan,Ethiopia,Shield,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,9.35,40.13,1151,Rhyolite
Fentale,Ethiopia,Stratovolcano,Eruption Observed,1820 CE,Africa and Red Sea,Africa (northeastern) and Red Sea,8.975,39.93,2007,Rhyolite
Beru,Ethiopia,Volcanic field,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,8.95,39.75,1100,Basalt / Picro-Basalt
Kone,Ethiopia,Caldera(s),Eruption Observed,1820 CE,Africa and Red Sea,Africa (northeastern) and Red Sea,8.788,39.701,1380,Rhyolite
Boset-Bericha,Ethiopia,Stratovolcano(es),Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,8.558,39.475,2447,Rhyolite
Bishoftu Volcanic Field,Ethiopia,Fissure vent(s),Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,8.78,38.98,1850,Basalt / Picro-Basalt
Sodore,Ethiopia,Pyroclastic cone(s),Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,8.43,39.35,1765,Basalt / Picro-Basalt
Gedamsa,Ethiopia,Caldera,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,8.357,39.188,1873,Rhyolite
Bora-Bericcio,Ethiopia,Pyroclastic cone(s),Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,8.221,39.05,2267,Rhyolite
Tullu Moje,Ethiopia,Pyroclastic cone,Eruption Observed,1900 CE,Africa and Red Sea,Africa (northeastern) and Red Sea,8.159,39.137,2343,Rhyolite
Unnamed,Ethiopia,Fissure vent(s),Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,8.013,39.062,1886,Basalt / Picro-Basalt
East Zway,Ethiopia,Fissure vent(s),Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,7.874,38.902,1889,Basalt / Picro-Basalt
Butajiri-Silti Field,Ethiopia,Fissure vent(s),Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,8.05,38.35,2281,Basalt / Picro-Basalt
Alutu,Ethiopia,Stratovolcano,Eruption Dated,50 BCE,Africa and Red Sea,Africa (northeastern) and Red Sea,7.77,38.78,2335,Rhyolite
O'a Caldera,Ethiopia,Caldera,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,7.47,38.58,2075,Rhyolite
Corbetti Caldera,Ethiopia,Caldera,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,7.193,38.39,2320,Rhyolite
Bilate River Field,Ethiopia,Maar(s),Unrest / Holocene,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,7.07,38.1,1700,No Data (checked)
Tepi,Ethiopia,Shield,Unrest / Holocene,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,7.42,35.43,2728,Basalt / Picro-Basalt
Northern Lake Abaya Volcanic Field,Ethiopia,Volcanic field,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,6.76,37.97,1594,
East Chamo Basin,Ethiopia,Pyroclastic cone(s),Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,5.708,37.713,1150,Basalt / Picro-Basalt
Korath Range,Ethiopia,Tuff cone(s),Evidence Uncertain,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,5.1,35.88,912,Trachybasalt / Tephrite Basanite
Mega Basalt Field,Ethiopia-Kenya,Pyroclastic cone(s),Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,4.063,37.488,1111,Basalt / Picro-Basalt
North Island,Kenya,Tuff cone(s),Evidence Credible,Unknown,Africa and Red Sea,Africa (eastern),4.059,36.049,490,Trachyandesite / Basaltic Trachyandesite
Central Island,Kenya,Tuff cone(s),Evidence Credible,Unknown,Africa and Red Sea,Africa (eastern),3.496,36.04,518,Basalt / Picro-Basalt
South Island,Kenya,Stratovolcano,Eruption Observed,1888 CE,Africa and Red Sea,Africa (eastern),2.63,36.6,800,Basalt / Picro-Basalt
Marsabit,Kenya,Shield,Evidence Uncertain,Unknown,Africa and Red Sea,Africa (eastern),2.32,37.97,1707,Basalt / Picro-Basalt
"Barrier, The",Kenya,Shield,Eruption Observed,1921 CE,Africa and Red Sea,Africa (eastern),2.32,36.57,1032,Trachyte / Trachydacite
Namarunu,Kenya,Shield,Eruption Dated,6550 BCE,Africa and Red Sea,Africa (eastern),1.98,36.43,817,Basalt / Picro-Basalt
Segererua Plateau,Kenya,Pyroclastic cone(s),Evidence Credible,Unknown,Africa and Red Sea,Africa (eastern),1.57,37.9,699,Basalt / Picro-Basalt
Emuruangogolak,Kenya,Shield,Eruption Dated,1910 CE,Africa and Red Sea,Africa (eastern),1.5,36.33,1285,Trachyte / Trachydacite
Silali,Kenya,Shield,Eruption Dated,5050 BCE,Africa and Red Sea,Africa (eastern),1.15,36.23,1528,Trachyte / Trachydacite
Paka,Kenya,Shield,Eruption Dated,7550 BCE,Africa and Red Sea,Africa (eastern),0.92,36.18,1697,Trachyte / Trachydacite
Korosi,Kenya,Shield,Evidence Credible,Unknown,Africa and Red Sea,Africa (eastern),0.77,36.12,1446,Trachyte / Trachydacite
Ol Kokwe,Kenya,Shield,Evidence Credible,Unknown,Africa and Red Sea,Africa (eastern),0.62,36.075,1130,Basalt / Picro-Basalt
Nyambeni Hills,Kenya,Shield,Evidence Credible,Unknown,Africa and Red Sea,Africa (eastern),0.23,37.87,750,Basalt / Picro-Basalt
Menengai,Kenya,Shield,Eruption Dated,6050 BCE,Africa and Red Sea,Africa (eastern),-0.2,36.07,2278,Trachyte / Trachydacite
Homa Mountain,Kenya,Complex,Evidence Credible,Unknown,Africa and Red Sea,Africa (eastern),-0.38,34.5,1751,Foidite
Elmenteita Badlands,Kenya,Pyroclastic cone(s),Evidence Credible,Unknown,Africa and Red Sea,Africa (eastern),-0.52,36.27,2126,Basalt / Picro-Basalt
"Eburru, Ol Doinyo",Kenya,Complex,Evidence Credible,Unknown,Africa and Red Sea,Africa (eastern),-0.65,36.22,2856,Rhyolite
Olkaria,Kenya,Pyroclastic cone(s),Eruption Dated,1770 CE,Africa and Red Sea,Africa (eastern),-0.904,36.292,2434,Rhyolite
Longonot,Kenya,Stratovolcano,Eruption Dated,1863 CE,Africa and Red Sea,Africa (eastern),-0.914,36.446,2776,Trachyte / Trachydacite
Suswa,Kenya,Shield,Evidence Credible,Unknown,Africa and Red Sea,Africa (eastern),-1.151,36.357,2356,Phonolite
"Lengai, Ol Doinyo",Tanzania,Stratovolcano,Eruption Observed,2020 CE,Africa and Red Sea,Africa (eastern),-2.764,35.914,2962,Foidite
Chyulu Hills,Kenya,Volcanic field,Eruption Dated,1855 CE,Africa and Red Sea,Africa (eastern),-2.68,37.88,2188,Trachybasalt / Tephrite Basanite
Meru,Tanzania,Stratovolcano,Eruption Observed,1910 CE,Africa and Red Sea,Africa (eastern),-3.25,36.75,4565,Phonolite
Igwisi Hills,Tanzania,Pyroclastic cone(s),Eruption Dated,10450 BCE,Africa and Red Sea,Africa (eastern),-4.889,31.933,1146,Foidite
Ngozi,Tanzania,Caldera,Eruption Dated,1450 CE,Africa and Red Sea,Africa (eastern),-8.989,33.554,2614,Trachyte / Trachydacite
Rungwe,Tanzania,Stratovolcano,Eruption Dated,1250 CE,Africa and Red Sea,Africa (eastern),-9.135,33.668,2953,Trachyte / Trachydacite
Kyejo,Tanzania,Stratovolcano,Eruption Observed,1800 CE,Africa and Red Sea,Africa (eastern),-9.229,33.792,2176,Trachyte / Trachydacite
Fort Portal,Uganda,Tuff cone(s),Eruption Dated,2120 BCE,Africa and Red Sea,Africa (central),0.7,30.25,1615,Foidite
Kyatwa,Uganda,Tuff cone(s),Evidence Uncertain,Unknown,Africa and Red Sea,Africa (central),0.45,30.25,1430,Foidite
Katwe-Kikorongo,Uganda,Tuff cone(s),Evidence Credible,Unknown,Africa and Red Sea,Africa (central),-0.08,29.92,1067,Foidite
Bunyaruguru,Uganda,Maar(s),Evidence Credible,Unknown,Africa and Red Sea,Africa (central),-0.2,30.08,1554,Foidite
Katunga,Uganda,Tuff cone,Evidence Credible,Unknown,Africa and Red Sea,Africa (central),-0.471,30.191,1707,Foidite
Nyamuragira,DR Congo,Shield,Eruption Observed,2020 CE,Africa and Red Sea,Africa (central),-1.408,29.2,3058,Trachybasalt / Tephrite Basanite
Nyiragongo,DR Congo,Stratovolcano,Eruption Observed,2020 CE,Africa and Red Sea,Africa (central),-1.52,29.25,3470,Foidite
Karisimbi,DR Congo-Rwanda,Stratovolcano,Eruption Dated,8050 BCE,Africa and Red Sea,Africa (central),-1.506,29.45,4490,Trachybasalt / Tephrite Basanite
Visoke,DR Congo-Rwanda,Stratovolcano,Eruption Observed,1957 CE,Africa and Red Sea,Africa (central),-1.458,29.485,3696,Trachyandesite / Basaltic Trachyandesite
Muhavura,Uganda-Rwanda,Stratovolcano,Evidence Credible,Unknown,Africa and Red Sea,Africa (central),-1.383,29.678,4103,Trachybasalt / Tephrite Basanite
Bufumbira,Uganda,Pyroclastic cone(s),Evidence Uncertain,Unknown,Africa and Red Sea,Africa (central),-1.23,29.72,2440,Phono-tephrite /  Tephri-phonolite
Tshibinda,DR Congo,Pyroclastic cone(s),Evidence Credible,Unknown,Africa and Red Sea,Africa (central),-2.32,28.75,1460,Basalt / Picro-Basalt
San Carlos,Equatorial Guinea,Shield,Evidence Credible,Unknown,Africa and Red Sea,Africa (western),3.35,8.52,2260,Basalt / Picro-Basalt
San Joaquin,Equatorial Guinea,Shield,Evidence Credible,Unknown,Africa and Red Sea,Africa (western),3.35,8.63,2009,Basalt / Picro-Basalt
Santa Isabel,Equatorial Guinea,Shield,Eruption Observed,1923 CE,Africa and Red Sea,Africa (western),3.588,8.762,2999,Basalt / Picro-Basalt
Cameroon,Cameroon,Stratovolcano,Eruption Observed,2000 CE,Africa and Red Sea,Africa (western),4.203,9.17,4095,Trachybasalt / Tephrite Basanite
Tombel Graben,Cameroon,Pyroclastic cone(s),Evidence Credible,Unknown,Africa and Red Sea,Africa (western),4.758,9.717,500,Trachybasalt / Tephrite Basanite
Oku Volcanic Field,Cameroon,Stratovolcano,Evidence Uncertain,Unknown,Africa and Red Sea,Africa (western),6.25,10.5,3011,Basalt / Picro-Basalt
Todra Volcanic Field,Niger,Pyroclastic cone(s),Evidence Credible,Unknown,Africa and Red Sea,Africa (northern),17.68,8.5,1780,Basalt / Picro-Basalt
Tin Zaouatene Volcanic Field,Mali,Volcanic field,Evidence Credible,Unknown,Africa and Red Sea,Africa (northern),19.83,2.83,700,Trachybasalt / Tephrite Basanite
Tahalra Volcanic Field,Algeria,Pyroclastic cone(s),Evidence Credible,Unknown,Africa and Red Sea,Africa (northern),22.67,5,1467,Trachybasalt / Tephrite Basanite
Atakor Volcanic Field,Algeria,Pyroclastic cone(s),Evidence Credible,Unknown,Africa and Red Sea,Africa (northern),23.33,5.83,2918,Trachybasalt / Tephrite Basanite
Manzaz Volcanic Field,Algeria,Pyroclastic cone(s),Evidence Credible,Unknown,Africa and Red Sea,Africa (northern),23.92,5.83,1672,Trachybasalt / Tephrite Basanite
"Toh, Tarso",Chad,Volcanic field,Evidence Credible,Unknown,Africa and Red Sea,Africa (northern),21.33,16.33,2000,Basalt / Picro-Basalt
"Tousside, Tarso",Chad,Stratovolcano,Evidence Credible,Unknown,Africa and Red Sea,Africa (northern),21.03,16.45,3265,Trachyte / Trachydacite
"Voon, Tarso",Chad,Stratovolcano,Unrest / Holocene,Unknown,Africa and Red Sea,Africa (northern),20.92,17.28,3100,Trachyte / Trachydacite
"Koussi, Emi",Chad,Pyroclastic shield,Evidence Credible,Unknown,Africa and Red Sea,Africa (northern),19.8,18.53,3415,Trachyte / Trachydacite
"Marra, Jebel",Sudan,Volcanic field,Eruption Dated,2000 BCE,Africa and Red Sea,Africa (northern),12.95,24.27,3042,Basalt / Picro-Basalt
Kutum Volcanic Field,Sudan,Pyroclastic cone(s),Evidence Uncertain,Unknown,Africa and Red Sea,Africa (northern),14.57,25.85,1779,Basalt / Picro-Basalt
Meidob Volcanic Field,Sudan,Pyroclastic cone(s),Eruption Dated,2950 BCE,Africa and Red Sea,Africa (northern),15.32,26.47,2000,Trachybasalt / Tephrite Basanite
Bayuda Volcanic Field,Sudan,Pyroclastic cone(s),Eruption Dated,850 CE,Africa and Red Sea,Africa (northern),18.33,32.75,670,Trachybasalt / Tephrite Basanite
Sharat Kovakab,Syria,Volcanic field,Evidence Credible,Unknown,Middle East and Indian Ocean,Middle East (western),36.536,40.858,516,Basalt / Picro-Basalt
Harrat Ash Shamah,Syria-Jordan-Saudi Arabia,Volcanic field,Eruption Observed,1850 CE,Middle East and Indian Ocean,Middle East (western),32.333,37.583,1100,Basalt / Picro-Basalt
"Rahah, Harrat ar",Saudi Arabia,Volcanic field,Evidence Credible,Unknown,Middle East and Indian Ocean,Middle East (southern),27.8,36.17,1950,Basalt / Picro-Basalt
"Uwayrid, Harrat",Saudi Arabia,Volcanic field,Eruption Dated,640 CE,Middle East and Indian Ocean,Middle East (southern),27.08,37.25,1920,Basalt / Picro-Basalt
"Lunayyir, Harrat",Saudi Arabia,Volcanic field,Eruption Observed,1000 CE,Middle East and Indian Ocean,Middle East (southern),25.17,37.75,1370,Basalt / Picro-Basalt
"Ithnayn, Harrat",Saudi Arabia,Volcanic field,Evidence Credible,Unknown,Middle East and Indian Ocean,Middle East (southern),26.58,40.2,1625,Basalt / Picro-Basalt
"Khaybar, Harrat",Saudi Arabia,Volcanic field,Eruption Observed,650 CE,Middle East and Indian Ocean,Middle East (southern),25,39.92,2093,Basalt / Picro-Basalt
"Rahat, Harrat",Saudi Arabia,Volcanic field,Eruption Observed,1256 CE,Middle East and Indian Ocean,Middle East (southern),23.08,39.78,1744,Basalt / Picro-Basalt
"Kishb, Harrat",Saudi Arabia,Volcanic field,Evidence Credible,Unknown,Middle East and Indian Ocean,Middle East (southern),22.8,41.38,1475,Trachybasalt / Tephrite Basanite
"Birk, Harrat al",Saudi Arabia,Volcanic field,Evidence Credible,Unknown,Middle East and Indian Ocean,Middle East (southern),18.37,41.63,587,Basalt / Picro-Basalt
"Yar, Jabal",Saudi Arabia,Volcanic field,Eruption Observed,1810 CE,Middle East and Indian Ocean,Middle East (southern),17.05,42.83,305,Basalt / Picro-Basalt
"Arhab, Harra of",Yemen,Volcanic field,Eruption Observed,500 CE,Middle East and Indian Ocean,Middle East (southern),15.63,44.08,3100,Trachybasalt / Tephrite Basanite
