Volcano Name,Country,Primary Volcano Type,Activity Evidence,Last Known Eruption,Region,Subregion,Latitude,Longitude,Elevation (m),Dominant Rock Type
Ventotene,Italy,Stratovolcano(es),,,Mediterranean and Western Asia,Italy,40.8,13.42,139,
Pontine Islands,Italy,Lava dome(s),,,Mediterranean and Western Asia,Italy,40.9,12.95,283,
Logudoro,Italy,Volcanic field,,,Mediterranean and Western Asia,Italy,40.58,8.67,0,
Salina,Italy,Stratovolcano(es),,,Mediterranean and Western Asia,Italy,38.58,14.85,962,
Filicudi,Italy,Stratovolcano(es),,,Mediterranean and Western Asia,Italy,38.58,14.55,773,
Alicudi,Italy,Stratovolcano,,,Mediterranean and Western Asia,Italy,38.55,14.33,675,
Ustica,Italy,Stratovolcano(es),,,Mediterranean and Western Asia,Italy,38.72,13.18,248,
Iblei,Italy,Shield?,,,Mediterranean and Western Asia,Italy,37.117,14.821,825,
Linosa,Italy,Pyroclastic cone(s),,,Mediterranean and Western Asia,Italy,35.87,12.87,195,
Gaeta Bay Volcanic Field,Italy,Submarine,,,Mediterranean and Western Asia,Italy,40.978,13.663,0,
Sporades,Greece,Lava dome,,,Mediterranean and Western Asia,Greece,39.5,24.18,0,
Volos-Atalanti,Greece,Volcanic field,,,Mediterranean and Western Asia,Greece,39.033,22.8,900,
Aegina,Greece,Volcanic field,,,Mediterranean and Western Asia,Greece,37.75,23.5,530,
Poros,Greece,Fissure vent,,,Mediterranean and Western Asia,Greece,37.48,23.43,80,
Antiparos,Greece,Pyroclastic cone(s),,,Mediterranean and Western Asia,Greece,36.995,25.046,282,
Kos,Greece,Caldera(s),,,Mediterranean and Western Asia,Greece,36.852,27.251,430,
Suphan Dagi,Turkey,Stratovolcano,,,Mediterranean and Western Asia,Turkey,38.931,42.833,4033,
Girekol,Turkey,Shield,,,Mediterranean and Western Asia,Turkey,39.104,43.426,2145,
Etrusk,Turkey,Stratovolcano,,,Mediterranean and Western Asia,Turkey,39.032,43.66,3100,
Karasu Rift,Turkey,Volcanic field,,,Mediterranean and Western Asia,Turkey,36.767,36.6,486,
Ceyhan-Osmaniye,Turkey,Volcanic field,,,Mediterranean and Western Asia,Turkey,37,36.083,424,
Gölcük,Turkey,Caldera,,,Mediterranean and Western Asia,Turkey,37.72,30.492,0,
Kargapazari Dagi,Turkey,Unknown,,,Mediterranean and Western Asia,Turkey,40.005,41.675,2089,
Arpacay,Turkey,Volcanic field,,,Mediterranean and Western Asia,Turkey,41,43.467,0,
Kisir Dagi,Turkey,Unknown,,,Mediterranean and Western Asia,Turkey,40.97,43.07,3192,
Keli Highland,Georgia,Pyroclastic cone(s),,,Mediterranean and Western Asia,Western Asia,42.45,44.25,3750,
Akhuryan Valley,Armenia,Volcanic field,,,Mediterranean and Western Asia,Western Asia,41.067,43.75,2251,
Shamiram Plateau,Armenia,Volcanic field,,,Mediterranean and Western Asia,Western Asia,40.2,44.15,3300,
Unnamed,Armenia,Volcanic field,,,Mediterranean and Western Asia,Western Asia,40.058,45.608,3047,
Unnamed,Armenia,Volcanic field,,,Mediterranean and Western Asia,Western Asia,39.617,46.1,2400,
Dzau,Georgia,Fissure vent,,,Mediterranean and Western Asia,Western Asia,42.404,44.004,1904,
Mabda,Eritrea,Lava dome,,,Africa and Red Sea,Africa (northeastern) and Red Sea,13.508,41.779,1554,
Borawli,Ethiopia,Lava dome(s),,,Africa and Red Sea,Africa (northeastern) and Red Sea,11.63,41.45,875,
Hobitcha Caldera,Ethiopia,Caldera,,,Africa and Red Sea,Africa (northeastern) and Red Sea,6.8,37.87,1800,
Chericha,Ethiopia,Stratovolcano,,,Africa and Red Sea,Africa (northeastern) and Red Sea,6.712,38.085,1636,
Tosa Sucha,Ethiopia,Pyroclastic cone(s),,,Africa and Red Sea,Africa (northeastern) and Red Sea,5.967,37.629,1650,
Oyma,Ethiopia,Stratovolcano,,,Africa and Red Sea,Africa (northeastern) and Red Sea,12.88,41.62,1041,
Didolli,Ethiopia,Caldera,,,Africa and Red Sea,Africa (northeastern) and Red Sea,12.7,41.58,1191,
Katahelu,Ethiopia,Cone,,,Africa and Red Sea,Africa (northeastern) and Red Sea,12.551,41.503,1126,
Ali Mela,Ethiopia,Cone,,,Africa and Red Sea,Africa (northeastern) and Red Sea,12.718,41.396,1037,
Dawa Ale-Quarry,Ethiopia,Stratovolcano,,,Africa and Red Sea,Africa (northeastern) and Red Sea,12.75,41,0,
Badi,Ethiopia,Stratovolcano,,,Africa and Red Sea,Africa (northeastern) and Red Sea,12.387,40.366,1321,
Gad Elu,Ethiopia,Stratovolcano,,,Africa and Red Sea,Africa (northeastern) and Red Sea,12.408,41.06,1548,
Ela,Ethiopia,Stratovolcano,,,Africa and Red Sea,Africa (northeastern) and Red Sea,12.519,41.19,934,
Asgura,Ethiopia,Stratovolcano,,,Africa and Red Sea,Africa (northeastern) and Red Sea,11.75,40.9,0,
Finini,Ethiopia,Stratovolcano,,,Africa and Red Sea,Africa (northeastern) and Red Sea,11.98,41.35,0,
Dalaha'ale,Ethiopia,Stratovolcano,,,Africa and Red Sea,Africa (northeastern) and Red Sea,12.274,42.044,881,
Data Gabalti,Ethiopia,Stratovolcano,,,Africa and Red Sea,Africa (northeastern) and Red Sea,12.197,42.135,583,
Egersuwa,Ethiopia,Lava dome(s),,,Africa and Red Sea,Africa (northeastern) and Red Sea,12.45,42.166,582,
Zikwala,Ethiopia,Stratovolcano,,,Africa and Red Sea,Africa (northeastern) and Red Sea,8.53,38.85,2989,
Ch'Ilalo,Ethiopia,Stratovolcano,,,Africa and Red Sea,Africa (northeastern) and Red Sea,7.92,39.27,4005,
Gademota Caldera,Ethiopia,Caldera,,,Africa and Red Sea,Africa (northeastern) and Red Sea,7.88,38.6,2090,
Duguna,Ethiopia,Stratovolcano,,,Africa and Red Sea,Africa (northeastern) and Red Sea,6.95,38.07,2205,
Chew Bahir,Ethiopia,Pyroclastic cone(s),,,Africa and Red Sea,Africa (northeastern) and Red Sea,4.47,36.87,600,
Undurer,Ethiopia,Stratovolcano,,,Africa and Red Sea,Africa (northeastern) and Red Sea,12.171,41.396,1242,
Babba'Olou,Djibouti,Stratovolcano,,,Africa and Red Sea,Africa (northeastern) and Red Sea,11.55,42.133,1301,
Kilimanjaro,Tanzania,Stratovolcano,,,Africa and Red Sea,Africa (eastern),-3.07,37.35,5881,
Usangu Scarp Basalt,Tanzania,Pyroclastic cone,,,Africa and Red Sea,Africa (eastern),-8.624,33.583,1690,
SW Usangu Basin,Tanzania,Lava dome(s),,,Africa and Red Sea,Africa (eastern),-8.75,33.8,2179,
Izumbwe-Mpoli,Tanzania,Pyroclastic cone(s),,,Africa and Red Sea,Africa (eastern),-8.976,33.38,1568,
Kulal,Kenya,Shield,,,Africa and Red Sea,Africa (eastern),2.75,36.93,2285,
Asie,Kenya,Shield,,,Africa and Red Sea,Africa (eastern),2.964,37.104,1056,
Huri,Kenya,Shield,,,Africa and Red Sea,Africa (eastern),3.5,37.75,1300,
Bogoria,Kenya,Shield,,,Africa and Red Sea,Africa (eastern),0.25,36.08,1100,
Kilombe Caldera,Kenya,Caldera,,,Africa and Red Sea,Africa (eastern),-0.08,35.83,2550,
"Nyokie, Ol Doinyo",Kenya,Tuff cone,,,Africa and Red Sea,Africa (eastern),-1.8,36.38,1169,
Gelai,Tanzania,Shield,,,Africa and Red Sea,Africa (eastern),-2.6,36.1,2942,
Ketumbeine,Tanzania,Shield,,,Africa and Red Sea,Africa (eastern),-2.88,36.22,2942,
Kerimasi,Tanzania,Stratovolcano,,,Africa and Red Sea,Africa (eastern),-2.87,35.95,2600,
Loolmalasin,Tanzania,Unknown,,,Africa and Red Sea,Africa (eastern),-3.052,35.817,3627,
Sadiman,Tanzania,Stratovolcano,,,Africa and Red Sea,Africa (eastern),-3.18,35.42,2865,
Ngorongoro,Tanzania,Caldera,,,Africa and Red Sea,Africa (eastern),-3.17,35.57,2376,
Sultan Hamud-Simba,Kenya,Volcanic field,,,Africa and Red Sea,Africa (eastern),-2.12,37.4,0,
Burko,Tanzania,Stratovolcano,,,Africa and Red Sea,Africa (eastern),-3.3,36.22,2136,
Kwaraha,Tanzania,Stratovolcano,,,Africa and Red Sea,Africa (eastern),-4.23,35.82,2415,
Porr,Kenya,Pyroclastic cone,,,Africa and Red Sea,Africa (eastern),2.9,36.55,0,
Embagai,Tanzania,Caldera,,,Africa and Red Sea,Africa (eastern),-2.92,35.83,3220,
Olmoti,Tanzania,Caldera,,,Africa and Red Sea,Africa (eastern),-3,35.65,3099,
Hanang,Tanzania,Stratovolcano,,,Africa and Red Sea,Africa (eastern),-4.43,35.4,3418,
Mikeno,DR Congo,Stratovolcano,,,Africa and Red Sea,Africa (central),-1.463,29.419,4387,
Sabinyo,Uganda-Rwanda,Stratovolcano,,,Africa and Red Sea,Africa (central),-1.388,29.592,3605,
Sao Tome,Sao Tome and Principe,Shield,,,Africa and Red Sea,Africa (western),0.2,6.58,2024,
Kumba Volcanic Field,Cameroon,Maar(s),,,Africa and Red Sea,Africa (western),4.608,9.292,600,
Manengouba,Cameroon,Stratovolcano,,,Africa and Red Sea,Africa (western),5.03,9.83,2411,
Ngaoundere Plateau,Cameroon,Volcanic field,,,Africa and Red Sea,Africa (western),7.25,13.67,1230,
Biu Plateau,Nigeria,Volcanic field,,,Africa and Red Sea,Africa (western),10.75,12.088,930,
Jos Plateau,Nigeria,Volcanic field,,,Africa and Red Sea,Africa (western),9.5,9,1177,
Haruj,Libya,Volcanic field,,,Africa and Red Sea,Africa (northern),27.25,17.5,1200,
Waw an Namous,Libya,Caldera,,,Africa and Red Sea,Africa (northern),24.906,17.772,470,
Tin Taralle Volcanic Field,Niger,Volcanic field,,,Africa and Red Sea,Africa (northern),18.27,9.33,0,
Cap-Vert,Senegal,Volcanic field,,,Africa and Red Sea,Africa (northern),14.77,-17.4,0,
Oulmes Volcanic Field,Morocco,Volcanic field,,,Africa and Red Sea,Africa (northern),33.33,-6,0,
Rekkame Volcanic Field,Morocco,Explosion crater(s),,,Africa and Red Sea,Africa (northern),33.17,-3.33,1500,
Nemours-Nedroma,Algeria,Volcanic field,,,Africa and Red Sea,Africa (northern),35.07,-2,444,
Tafna Beni Saf,Algeria,Volcanic field,,,Africa and Red Sea,Africa (northern),35.28,-1.45,480,
Gharyan Volcanic Field,Libya,Stratovolcano(es),,,Africa and Red Sea,Africa (northern),32,13.25,850,
In Teria Volcanic Field,Algeria,Tuff ring(s),,,Africa and Red Sea,Africa (northern),26.814,9.638,0,
Azrou Volcanic Field,Morocco,Volcanic field,,,Africa and Red Sea,Africa (northern),33.67,-5.17,1785,
Oujda Volcanic Field,Morocco,Volcanic field,,,Africa and Red Sea,Africa (northern),34.53,-3.3,700,
Mrit-Ment Volcanic Field,Morocco,Volcanic field,,,Africa and Red Sea,Africa (northern),33.47,-2.97,700,
Berguent Volcanic Field,Morocco,Lava dome(s),,,Africa and Red Sea,Africa (northern),33.75,-2.4,1200,
Chott Tigri Volcanic Field,Morocco,Volcanic field,,,Africa and Red Sea,Africa (northern),32.92,-1.85,1388,
"Chi, Tarso Emi",Chad,Volcanic field,,,Africa and Red Sea,Africa (northern),21.22,18.52,2650,
"Ahon, Tarso",Chad,Volcanic field,,,Africa and Red Sea,Africa (northern),20.539,18.29,3325,
Unnamed,Syria,Cone,,,Middle East and Indian Ocean,Middle East (western),37.13,41.85,693,
Unnamed,Syria,Cone(s),,,Middle East and Indian Ocean,Middle East (western),35.63,40.33,404,
Unnamed,Syria,Cone(s),,,Middle East and Indian Ocean,Middle East (western),35.82,39.47,473,
Unnamed,Syria,Cone(s),,,Middle East and Indian Ocean,Middle East (western),34.02,38.68,775,
Unnamed,Syria,Cone(s),,,Middle East and Indian Ocean,Middle East (western),33.75,38.68,781,
"Baqarah, Jabal",Saudi Arabia,Cone,,,Middle East and Indian Ocean,Middle East (southern),18.024,42.092,331,
"Hutaymah, Harrat",Saudi Arabia,Volcanic field,,,Middle East and Indian Ocean,Middle East (southern),26.98,42.4,0,
"Haylah, Jibal al",Saudi Arabia,Cone,,,Middle East and Indian Ocean,Middle East (southern),18.515,42.051,761,
Qal'eh Hasan Ali,Iran,Maar(s),,,Middle East and Indian Ocean,Middle East (eastern),29.375,57.55,2400,
Dacht-i-Navar Group,Afghanistan,Lava dome(s),,,Middle East and Indian Ocean,Middle East (eastern),33.95,67.92,3800,
Vakak Group,Afghanistan,Volcanic field,,,Middle East and Indian Ocean,Middle East (eastern),34.25,67.97,3190,
Bijar Volcanic Field,Iran,Pyroclastic cone(s),,,Middle East and Indian Ocean,Middle East (western),35.583,47.8,0,
Sultan,Pakistan,Volcanic field,,,Middle East and Indian Ocean,Middle East (eastern),29.1,62.8,2333,
Kuh-e Ayyub Ansar,Iran,Lava dome,,,Middle East and Indian Ocean,Middle East (western),36.321,47.25,2506,
Gandom Beryan,Iran,Unknown,,,Middle East and Indian Ocean,Middle East (eastern),31.343,57.517,500,
Dehaj-Meduk,Iran,Volcanic field,,,Middle East and Indian Ocean,Middle East (eastern),30.33,55.5,0,
Shahsavaran,Iran,Volcanic field,,,Middle East and Indian Ocean,Middle East (eastern),28.152,59.281,0,
Zardolou Group,Afghanistan,Lava dome(s),,,Middle East and Indian Ocean,Middle East (eastern),33.25,67.92,3000,
Loman Volcano Group,Afghanistan,Lava dome(s),,,Middle East and Indian Ocean,Middle East (eastern),33.33,67.85,4559,
East Neh,Iran,Unknown,,,Middle East and Indian Ocean,Middle East (eastern),31.333,60.126,0,
Moheli Island,Comoros,Shield,,,Middle East and Indian Ocean,Indian Ocean (western),-12.3,43.72,790,
Anjouan Island,Comoros,Shield,,,Middle East and Indian Ocean,Indian Ocean (western),-12.2,44.45,1595,
"Nieges, Piton des",France,Shield,,,Middle East and Indian Ocean,Indian Ocean (western),-21.08,55.48,3070,
Mauritius,Mauritius,Shield,,,Middle East and Indian Ocean,Indian Ocean (western),-20.32,57.65,826,
Rodriguez Island,Mauritius,Shield,,,Middle East and Indian Ocean,Indian Ocean (western),-19.7,63.42,396,
Rumble II East,New Zealand,Submarine,,,New Zealand to Fiji,New Zealand,-35.418,178.652,-1150,
Rumble I,New Zealand,Submarine,,,New Zealand to Fiji,New Zealand,-35.5,178.875,-1100,
Thompson,New Zealand,Submarine,,,New Zealand to Fiji,New Zealand,-35.285,178.863,-1250,
Silent II West,New Zealand,Submarine,,,New Zealand to Fiji,New Zealand,-35.169,178.902,-780,
Silent II East,New Zealand,Submarine,,,New Zealand to Fiji,New Zealand,-35.21,178.978,-1250,
Yokosuka,New Zealand,Submarine,,,New Zealand to Fiji,New Zealand,-34.709,178.545,-1060,
Rapuhia,New Zealand,Submarine,,,New Zealand to Fiji,New Zealand,-34.776,178.505,-650,
Giljanes,New Zealand,Submarine,,,New Zealand to Fiji,New Zealand,-34.775,178.579,-700,
Kibblewhite,New Zealand,Submarine,,,New Zealand to Fiji,New Zealand,-34.576,179.262,-1000,
Sonne,New Zealand,Submarine,,,New Zealand to Fiji,New Zealand,-34.077,179.576,-995,
Ngatoroirangi,New Zealand,Submarine,,,New Zealand to Fiji,New Zealand,-33.729,179.827,-340,
Cole,New Zealand,Submarine,,,New Zealand to Fiji,New Zealand,-33.411,179.953,-2400,
Kuiwai,New Zealand,Submarine,,,New Zealand to Fiji,New Zealand,-33.159,-179.957,-560,
Haungaroa,New Zealand,Submarine,,,New Zealand to Fiji,New Zealand,-32.617,-179.624,-660,
Oliver-Speight,New Zealand,Submarine,,,New Zealand to Fiji,New Zealand,-32.388,-179.591,-1840,
Hautere,New Zealand,Stratovolcano,,,New Zealand to Fiji,New Zealand,-46.55,166.9,330,
South Auckland,New Zealand,Shield(s),,,New Zealand to Fiji,New Zealand,-37.37,174.92,314,
Mokohinau Islands,New Zealand,Volcanic field,,,New Zealand to Fiji,New Zealand,-35.9,175.12,134,
Little Barrier,New Zealand,Stratovolcano,,,New Zealand to Fiji,New Zealand,-36.2,175.12,722,
Mercury Islands,New Zealand,Volcanic field,,,New Zealand to Fiji,New Zealand,-36.62,175.82,230,
Alderman Islands,New Zealand,Lava dome(s),,,New Zealand to Fiji,New Zealand,-36.97,176.08,0,
South Coromandel Peninsula,New Zealand,Volcanic field,,,New Zealand to Fiji,New Zealand,-37.25,175.78,795,
Kaimai,New Zealand,Volcanic field,,,New Zealand to Fiji,New Zealand,-37.8,176.22,564,
Karioi,New Zealand,Stratovolcano,,,New Zealand to Fiji,New Zealand,-37.87,174.8,756,
Pirongia,New Zealand,Stratovolcano,,,New Zealand to Fiji,New Zealand,-38,175.1,959,
Kakepuku,New Zealand,Lava cone(s),,,New Zealand to Fiji,New Zealand,-38.07,175.25,450,
Kaitake,New Zealand,Stratovolcano,,,New Zealand to Fiji,New Zealand,-39.17,173.97,684,
Pouakai,New Zealand,Stratovolcano,,,New Zealand to Fiji,New Zealand,-39.23,174.02,1399,
Solander Island,New Zealand,Stratovolcano,,,New Zealand to Fiji,New Zealand,-46.55,166.87,300,
Moutohora Island,New Zealand,Complex,,,New Zealand to Fiji,New Zealand,-37.858,176.98,354,
Rotorua,New Zealand,Caldera,,,New Zealand to Fiji,New Zealand,-38.08,176.27,757,
Kapenga,New Zealand,Caldera(s),,,New Zealand to Fiji,New Zealand,-38.27,176.27,840,
Mangakino,New Zealand,Caldera,,,New Zealand to Fiji,New Zealand,-38.35,175.75,1165,
Northern Tongariro Group,New Zealand,Stratovolcano(es),,,New Zealand to Fiji,New Zealand,-38.98,175.7,1327,
Rungapapa Knoll,New Zealand,Submarine,,,New Zealand to Fiji,New Zealand,-37.547,176.98,0,
Hinetapeka,Undersea Features,Submarine,,,New Zealand to Fiji,Kermadec Islands,-28.831,-177.826,-140,
Volcano OP,Undersea Features,Submarine,,,New Zealand to Fiji,Kermadec Islands,-28.218,-177.692,-875,
Putoto,Undersea Features,Submarine,,,New Zealand to Fiji,Kermadec Islands,-27.857,-177.621,-260,
Volcano Q,Undersea Features,Submarine,,,New Zealand to Fiji,Kermadec Islands,-27.468,-177.506,-1200,
Gamble,Undersea Features,Submarine,,,New Zealand to Fiji,Kermadec Islands,-27.2,-177.41,-900,
Rakahore,Undersea Features,Submarine,,,New Zealand to Fiji,Kermadec Islands,-26.81,-177.4,-640,
Hinepuia,Undersea Features,Submarine,,,New Zealand to Fiji,Kermadec Islands,-26.39,-177.26,-850,
Ata Volcanic Complex,Tonga,Unknown,,,New Zealand to Fiji,Tonga Islands,-22.337,-176.21,274,
Feinga Seamount,Tonga,Submarine,,,New Zealand to Fiji,Tonga Islands,-20.154,-175.163,-393,
Unnamed,Tonga,Submarine,,,New Zealand to Fiji,Tonga Islands,-19.438,-174.952,-331,
Toku,Tonga,Submarine,,,New Zealand to Fiji,Tonga Islands,-18.163,-174.181,21,
Rose Island,United States,Shield,,,New Zealand to Fiji,Samoan and Wallis Islands,-14.545,-168.156,3,
Nairai,Fiji,Complex,,,New Zealand to Fiji,Fiji Islands,-17.8,179.42,335,
Waikama,Fiji,Complex,,,New Zealand to Fiji,Fiji Islands,-18.02,179.3,760,
Mago,Fiji,Pyroclastic cone(s),,,New Zealand to Fiji,Fiji Islands,-17.45,-179.15,0,
Katafaga,Fiji,Unknown,,,New Zealand to Fiji,Fiji Islands,-17.52,-178.72,0,
Kabara,Fiji,Unknown,,,New Zealand to Fiji,Fiji Islands,-18.95,-178.95,0,
Vokeo,Papua New Guinea,Stratovolcano,,,Melanesia and Australia,Northeast of New Guinea,-3.2,144.1,609,
Viai,Papua New Guinea,Stratovolcano,,,Melanesia and Australia,Northeast of New Guinea,-3.39,144.404,58,
Bagabag,Papua New Guinea,Stratovolcano,,,Melanesia and Australia,Northeast of New Guinea,-4.78,146.23,692,
Crown Island,Papua New Guinea,Stratovolcano,,,Melanesia and Australia,Northeast of New Guinea,-5.117,146.952,298,
Tolokiwa,Papua New Guinea,Stratovolcano,,,Melanesia and Australia,Northeast of New Guinea,-5.32,147.58,1372,
Tangi,Papua New Guinea,Stratovolcano,,,Melanesia and Australia,New Britain,-5.67,148.4,1524,
Narage,Papua New Guinea,Stratovolcano,,,Melanesia and Australia,New Britain,-4.547,149.113,307,
Bangum,Papua New Guinea,Stratovolcano,,,Melanesia and Australia,New Britain,-5.345,149.94,988,
Oto Group,Papua New Guinea,Stratovolcano(es),,,Melanesia and Australia,New Britain,-5.558,150.407,1277,
Likuruanga,Papua New Guinea,Stratovolcano,,,Melanesia and Australia,New Britain,-4.953,151.385,904,
Unea,Papua New Guinea,Caldera,,,Melanesia and Australia,New Britain,-4.888,149.143,579,
Lotomgan Group,Papua New Guinea,Pyroclastic cone(s),,,Melanesia and Australia,New Britain,-5.22,150.07,555,
Doma Peaks,Papua New Guinea,Stratovolcano,,,Melanesia and Australia,New Guinea and D'Entrecasteaux Islands,-5.9,143.15,3568,
Crater Mountain,Papua New Guinea,Stratovolcano,,,Melanesia and Australia,New Guinea and D'Entrecasteaux Islands,-6.581,145.091,2950,
Yelia,Papua New Guinea,Stratovolcano,,,Melanesia and Australia,New Guinea and D'Entrecasteaux Islands,-7.05,145.858,3384,
Kerewa,Papua New Guinea,Stratovolcano,,,Melanesia and Australia,New Guinea and D'Entrecasteaux Islands,-6.02,143.15,3700,
Sisa,Papua New Guinea,Stratovolcano,,,Melanesia and Australia,New Guinea and D'Entrecasteaux Islands,-6.13,142.73,2650,
Bosavi,Papua New Guinea,Stratovolcano,,,Melanesia and Australia,New Guinea and D'Entrecasteaux Islands,-6.58,142.82,2397,
Darai Hills,Papua New Guinea,Volcanic field,,,Melanesia and Australia,New Guinea and D'Entrecasteaux Islands,-6.8,143.08,500,
Biwau Hills,Papua New Guinea,Pyroclastic cone(s),,,Melanesia and Australia,New Guinea and D'Entrecasteaux Islands,-7.32,143.28,400,
Sugarloaf,Papua New Guinea,Volcanic field,,,Melanesia and Australia,New Guinea and D'Entrecasteaux Islands,-5.78,143.75,3900,
Hagen,Papua New Guinea,Stratovolcano(es),,,Melanesia and Australia,New Guinea and D'Entrecasteaux Islands,-5.77,144.03,3765,
Giluwe,Papua New Guinea,Shield,,,Melanesia and Australia,New Guinea and D'Entrecasteaux Islands,-6.05,143.88,4368,
Ialibu,Papua New Guinea,Stratovolcano,,,Melanesia and Australia,New Guinea and D'Entrecasteaux Islands,-6.23,144.03,3465,
Murray,Papua New Guinea,Stratovolcano,,,Melanesia and Australia,New Guinea and D'Entrecasteaux Islands,-6.75,144.02,2254,
Suaru,Papua New Guinea,Stratovolcano,,,Melanesia and Australia,New Guinea and D'Entrecasteaux Islands,-6.25,144.83,2667,
Karimui,Papua New Guinea,Stratovolcano,,,Melanesia and Australia,New Guinea and D'Entrecasteaux Islands,-6.57,144.77,2561,
Duau,Papua New Guinea,Stratovolcano,,,Melanesia and Australia,New Guinea and D'Entrecasteaux Islands,-6.92,144.58,1850,
Favenc,Papua New Guinea,Stratovolcano,,,Melanesia and Australia,New Guinea and D'Entrecasteaux Islands,-6.97,144.68,1583,
Aird Hills,Papua New Guinea,Lava dome(s),,,Melanesia and Australia,New Guinea and D'Entrecasteaux Islands,-7.45,144.35,328,
Trafalgar,Papua New Guinea,Stratovolcano,,,Melanesia and Australia,New Guinea and D'Entrecasteaux Islands,-9.17,149.17,1726,
Tabar,Papua New Guinea,Stratovolcano,,,Melanesia and Australia,New Ireland,-2.97,152.043,607,
Tanga,Papua New Guinea,Stratovolcano,,,Melanesia and Australia,New Ireland,-3.5,153.22,472,
Emperor Range,Papua New Guinea,Caldera(s),,,Melanesia and Australia,Bougainville and Solomon Islands,-5.7,154.95,2040,
Numa Numa,Papua New Guinea,Stratovolcano,,,Melanesia and Australia,Bougainville and Solomon Islands,-6.02,155.192,1567,
Bakanovi,Papua New Guinea,Stratovolcano,,,Melanesia and Australia,Bougainville and Solomon Islands,-6.15,155.35,600,
Nonda,Solomon Islands,Stratovolcano,,,Melanesia and Australia,Bougainville and Solomon Islands,-7.67,156.6,760,
Maetambe,Solomon Islands,Unknown,,,Melanesia and Australia,Bougainville and Solomon Islands,-7.08,157.03,960,
Kolombangara,Solomon Islands,Stratovolcano,,,Melanesia and Australia,Bougainville and Solomon Islands,-7.97,157.08,1760,
Rendova,Solomon Islands,Stratovolcano,,,Melanesia and Australia,Bougainville and Solomon Islands,-8.47,157.33,1050,
Mbareke,Solomon Islands,Stratovolcano,,,Melanesia and Australia,Bougainville and Solomon Islands,-8.55,158.07,500,
Vangunu,Solomon Islands,Stratovolcano,,,Melanesia and Australia,Bougainville and Solomon Islands,-8.67,158,1040,
Nggatokae,Solomon Islands,Stratovolcano,,,Melanesia and Australia,Bougainville and Solomon Islands,-8.78,158.18,840,
Ureparapara,Vanuatu,Stratovolcano,,,Melanesia and Australia,Vanuatu,-13.53,167.32,764,
